"time","week1","week2","week3"
"(0,30]",0,0,0.0075187969924812
"(30,60]",0,0.0037037037037037,0.0037593984962406
"(60,90]",0,0,0.0037593984962406
"(90,120]",0,0.0037037037037037,0.0150375939849624
"(120,150]",0,0,0.0037593984962406
"(150,180]",0.009375,0.00740740740740741,0.0225563909774436
"(180,210]",0,0.0037037037037037,0.0037593984962406
"(210,240]",0.003125,0.00740740740740741,0
"(240,270]",0.021875,0.00740740740740741,0.0075187969924812
"(270,300]",0.00625,0.0037037037037037,0.0112781954887218
"(300,330]",0.025,0.0111111111111111,0.0300751879699248
"(330,360]",0.01875,0.0222222222222222,0.037593984962406
"(360,390]",0.071875,0.037037037037037,0.0488721804511278
"(390,420]",0.078125,0.0777777777777778,0.0789473684210526
"(420,450]",0.075,0.125925925925926,0.0676691729323308
"(450,480]",0.071875,0.0888888888888889,0.0714285714285714
"(480,510]",0.075,0.0592592592592593,0.0451127819548872
"(510,540]",0.034375,0.0666666666666667,0.0451127819548872
"(540,570]",0.021875,0.0407407407407407,0.0451127819548872
"(570,600]",0.025,0.0296296296296296,0.0300751879699248
"(600,630]",0.01875,0.0111111111111111,0.0451127819548872
"(630,660]",0.03125,0.0407407407407407,0.0225563909774436
"(660,690]",0.01875,0.00740740740740741,0.0225563909774436
"(690,720]",0.028125,0.0333333333333333,0.0263157894736842
"(720,750]",0.01875,0.0222222222222222,0.0075187969924812
"(750,780]",0.025,0.0259259259259259,0.0300751879699248
"(780,810]",0.03125,0.0148148148148148,0.0338345864661654
"(810,840]",0.034375,0.0296296296296296,0.0526315789473684
"(840,870]",0.03125,0.0259259259259259,0.0150375939849624
"(870,900]",0.046875,0.0407407407407407,0.0338345864661654
"(900,930]",0.015625,0.0148148148148148,0.0338345864661654
"(930,960]",0.0375,0.0185185185185185,0.0112781954887218
"(960,990]",0.025,0.0111111111111111,0
"(990,1.02e+03]",0.009375,0.0037037037037037,0.0037593984962406
"(1.02e+03,1.05e+03]",0.00625,0.00740740740740741,0.0037593984962406
"(1.05e+03,1.08e+03]",0.01875,0,0
"(1.08e+03,1.11e+03]",0.015625,0.0222222222222222,0.0075187969924812
"(1.11e+03,1.14e+03]",0.0125,0.0037037037037037,0.0075187969924812
"(1.14e+03,1.17e+03]",0.003125,0.0148148148148148,0.0037593984962406
"(1.17e+03,1.2e+03]",0.003125,0.00740740740740741,0.0075187969924812
"(1.2e+03,1.23e+03]",0.003125,0,0.0112781954887218
"(1.23e+03,1.26e+03]",0.00625,0.00740740740740741,0
"(1.26e+03,1.29e+03]",0,0.00740740740740741,0
"(1.29e+03,1.32e+03]",0.003125,0.0037037037037037,0.0037593984962406
"(1.32e+03,1.35e+03]",0.003125,0.0111111111111111,0.0112781954887218
"(1.35e+03,1.38e+03]",0.003125,0.00740740740740741,0.0112781954887218
"(1.38e+03,1.41e+03]",0.009375,0.0111111111111111,0.0037593984962406
"(1.41e+03,1.44e+03]",0.003125,0,0.0112781954887218
