sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon
005es16272_MN,4093.486,3973.243,,4095.814,-0.02937,,0.00057,,0.03085,,-120.24299999999994,,2.3279999999999745,,122.57099999999991,,47.567435,-122.320378
005es16272_MS,6009.914,6073.343,,0,0.01055,,,,,,63.42900000000009,,,,,,47.567435,-122.320378
005es16302_MN,4341.3,4201.314,,4337.286,-0.03225,,-0.00092,,0.03236,,-139.98599999999988,,-4.014000000000124,,135.97199999999975,,47.571736,-122.319878
005es16319_MN,4071.171,3926.343,,4078.0,-0.03557,,0.00168,,0.03863,,-144.82799999999997,,6.829000000000178,,151.65700000000015,,47.574333,-122.319754
005es16377_MN,5643.2,5368.886,,5632.429,-0.04861,,-0.00191,,0.04909,,-274.3139999999994,,-10.77099999999973,,263.54299999999967,,47.582716,-122.31961
005es16396_MS,6061.686,6202.171,,6562.086,0.02318,,0.08255,,0.05803,,140.48500000000058,,500.40000000000055,,359.91499999999996,,47.585309,-122.320011
005es16426_MN,3762.314,4053.029,,3794.257,0.07727,,0.00849,,-0.06385,,290.71500000000015,,31.94300000000021,,-258.77199999999993,,47.58986,-122.32072
005es16466_MN,4906.59,5335.895,,5063.057,0.0875,,0.03189,,-0.05113,,429.3050000000003,,156.46699999999964,,-272.83800000000065,,47.595287,-122.320288
005es16513_MN,5174.314,5598.086,,5321.952,0.0819,,0.02853,,-0.04933,,423.77199999999993,,147.63799999999992,,-276.134,,47.60131,-122.323984
005es16513_MS,3280.914,3419.829,,3446.0,0.04234,,0.05032,,0.00765,,138.91499999999996,,165.08599999999979,,26.17099999999982,,47.60131,-122.323984
005es16551_MS,3178.714,3255.571,,3288.229,0.02418,,0.03445,,0.01003,,76.85699999999997,,109.51499999999987,,32.6579999999999,,47.606038,-122.328769
005es16583_MN,5481.79,5752.257,,5471.429,0.04934,,-0.00189,,-0.04882,,270.46699999999964,,-10.360999999999876,,-280.8279999999995,,47.610236,-122.331017
005es16640_MS,5099.143,5027.229,,0,-0.0141,,,,,,-71.91399999999976,,,,,,47.618243,-122.328356
