sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon,direction
005es16272_MN,2830.548,2987.479,,2885.146,0.05544,,0.01929,,-0.03425,,156.93100000000004,,54.59800000000041,,-102.33299999999963,,47.567435,-122.320378,NBT
005es16272_MS,3545.929,3620.812,,0,0.02112,,,,,,74.88299999999981,,,,,,47.567435,-122.320378,SBT
005es16302_MN,2802.479,3138.01,,3046.667,0.11973,,0.08713,,-0.02911,,335.5310000000004,,244.1880000000001,,-91.3430000000003,,47.571736,-122.319878,NBT
005es16319_MN,2629.729,2926.667,,2859.521,0.11292,,0.08738,,-0.02294,,296.9380000000001,,229.79200000000037,,-67.14599999999973,,47.574333,-122.319754,NBT
005es16377_MN,3629.417,3912.521,,3964.229,0.078,,0.09225,,0.01322,,283.10400000000027,,334.8119999999999,,51.70799999999963,,47.582716,-122.31961,NBT
005es16396_MS,3750.083,4136.604,,4424.917,0.10307,,0.17995,,0.0697,,386.5210000000002,,674.8340000000003,,288.3130000000001,,47.585309,-122.320011,SBT
005es16426_MN,2348.979,2683.729,,2552.396,0.14251,,0.0866,,-0.04894,,334.75,,203.41700000000037,,-131.33299999999963,,47.58986,-122.32072,NBT
005es16466_MN,2895.792,3380.528,,3182.146,0.16739,,0.09889,,-0.05868,,484.7359999999999,,286.35400000000027,,-198.3819999999996,,47.595287,-122.320288,NBT
005es16513_MN,2958.194,3547.09,,3341.917,0.19907,,0.12972,,-0.05784,,588.8960000000002,,383.72299999999996,,-205.17300000000023,,47.60131,-122.323984,NBT
005es16513_MS,2153.688,2356.458,,2258.896,0.09415,,0.04885,,-0.0414,,202.76999999999998,,105.20800000000008,,-97.5619999999999,,47.60131,-122.323984,SBT
005es16551_MS,2019.625,2235.104,,2119.979,0.10669,,0.04969,,-0.05151,,215.47899999999981,,100.35399999999981,,-115.125,,47.606038,-122.328769,SBT
005es16583_MN,3438.056,3832.944,,3755.438,0.11486,,0.09231,,-0.02022,,394.8879999999999,,317.38200000000006,,-77.50599999999986,,47.610236,-122.331017,NBT
005es16640_MS,3690.861,3898.549,,0,0.05627,,,,,,207.6880000000001,,,,,,47.618243,-122.328356,SBT
